X,Y,version,station,name,grid,ihdtm_x,ihdtm_y,centroid_x,centroid_y,dtm_area,altbar,aspbar,bfihost,dplbar,dpsbar,farl,fpext,ldp,propwet,rmed1h,rmed1d,rmed2d,saar,saar4170,sprhost,urbconc1990,urbext1990,urbloc1990,urbconc2000,urbext2000,urbloc2000,qmed_suitability,pooling_suitability,data_source,amax_record_length,qmed_obs,qmed_cds2008
316600,295950,3,54014,Severn                ,GB,316600,295950,300201,289855,574.66,288,75,0.449,32.05,146.1,0.97,0.0598,61.86,0.52,10,42.7,54.9,1256,1231,39.67,-9.999,0.0031,-9.999,-9.999,0.0045,-9.999,t,t,HiFlows-UK_3.1.2_WINFAP-FEH_data,49,191.501,201.7071843
358900,314150,3,54016,Roden                 ,GB,358900,314150,351699,328761,261.94,89,116,0.615,29.67,22.2,0.981,0.2212,49.1,0.34,9.4,29,36.5,693,712,27.47,0.524,0.0103,0.867,0.712,0.0135,0.8,t,t,HiFlows-UK_3.1.2_WINFAP-FEH_data,49,14.04,18.5683778
343350,319200,3,54020,Perry                 ,GB,343350,319200,337381,328873,188.05,102,129,0.654,19.16,29.5,0.954,0.19,34.67,0.4,9.2,29,37.4,739,773,26.5,0.541,0.0081,1.137,0.744,0.0144,1.147,t,t,HiFlows-UK_3.1.2_WINFAP-FEH_data,46,10.611,12.92504656
285250,287200,3,54022,Severn                ,GB,285250,287200,283246,288071,8.69,501,116,0.323,2.9,180.2,1,0.0098,5.73,0.66,13.2,72.9,97.9,2483,2255,52.7,-9.999,0,-9.999,-9.999,0,-9.999,t,t,HiFlows-UK_3.1.2_WINFAP-FEH_data,58,13.966,17.83706498
374750,295250,3,54024,Worfe                 ,GB,374750,295250,377378,302115,253.87,96,171,0.642,18.93,39.7,0.943,0.0807,35.87,0.34,10.5,29.6,36.3,687,712,30.6,0.641,0.031,1.236,0.822,0.0527,1.309,t,t,HiFlows-UK_3.1.2_WINFAP-FEH_data,40,6.3945,13.88230431
295050,282450,3,54025,Dulas                 ,GB,295050,282450,296856,278995,53.17,343,35,0.439,7.68,161.4,1,0.024,15.1,0.59,10.1,42.2,55.5,1268,1290,40.27,-9.999,0,-9.999,-9.999,0.0006,-9.999,t,t,HiFlows-UK_3.1.2_WINFAP-FEH_data,40,23.2375,30.80227244
383150,204650,3,54027,Frome                 ,GB,383150,204650,388512,205048,196.34,179,153,0.739,12.38,124.4,0.95,0.0154,29.52,0.32,10.4,35.2,46.6,828,888,20.4,0.578,0.0235,0.562,0.73,0.0305,0.54,t,t,HiFlows-UK_3.1.2_WINFAP-FEH_data,39,10.909,12.05294345
325000,319600,3,54028,Vyrnwy                ,GB,325000,319600,307738,318661,778.96,291,126,0.439,35.36,161.2,0.969,0.0519,66.61,0.51,9.9,42.3,56.4,1339,1368,41.06,-9.999,0.0007,-9.999,-9.999,0.0009,-9.999,t,t,HiFlows-UK_3.1.2_WINFAP-FEH_data,39,263.459,293.5127649
373450,255750,3,54029,Teme                  ,GB,373450,255750,346634,279096,1483.65,212,132,0.6,69.48,110.1,0.994,0.0618,117.13,0.35,10.4,33.6,44.2,818,853,30.81,0.506,0.0066,0.852,0.691,0.0065,0.835,t,t,HiFlows-UK_3.1.2_WINFAP-FEH_data,40,166.294,135.8821294
376750,276450,3,54034,Dowles Brook          ,GB,376750,276450,372015,276775,42.1,128,74,0.632,7.89,91.9,0.997,0.0117,14.72,0.32,11.2,33.1,44.2,715,757,19.18,-9.999,0.0044,-9.999,0.75,0.0121,0.835,t,t,HiFlows-UK_3.1.2_WINFAP-FEH_data,38,9.548,4.218228853
325150,322500,3,54038,Tanat                 ,GB,325150,322500,312711,327199,240.98,322,141,0.476,19.37,202.4,0.996,0.0382,35.19,0.51,9.7,40.6,55.7,1274,1273,38.6,-9.999,0.0008,-9.999,-9.999,0.0009,-9.999,t,t,HiFlows-UK_3.1.2_WINFAP-FEH_data,37,77.399,99.73763386
367950,320450,3,54040,Meese                 ,GB,367950,320450,375818,322857,159.94,98,228,0.588,19.18,30,0.931,0.1125,32.98,0.34,10.1,29.1,35.1,700,737,30.18,0.336,0.0066,1.025,0.617,0.0076,1.055,t,t,HiFlows-UK_3.1.2_WINFAP-FEH_data,36,4.83,11.57062172
364850,323050,3,54041,Tern                  ,GB,364850,323050,367078,333733,193.51,107,221,0.645,19.92,36.1,0.954,0.1198,37.58,0.34,9.6,28.9,37.4,719,757,27.52,0.542,0.011,0.988,0.732,0.0153,1.011,t,t,HiFlows-UK_3.1.2_WINFAP-FEH_data,37,11.332,12.79437502
284350,287650,3,54091,Severn                  ,GB,284350,287650,283153,288969,3.44,530,131,0.303,2.21,159.5,1,0.0122,4.38,0.66,13.4,72.9,98,2514,2227,54.15,-999999,0,-999999,-999999,0,-999999,t,t,HiFlows-UK_3.1.2_WINFAP-FEH_data,34,5.915,8.50377133
284550,287250,3,54092,Severn                  ,GB,284550,287250,282915,287310,3.19,513,95,0.33,2.22,214.5,1,0.0015,4.13,0.66,98,73.2,98,2531,2321,52.1,-999999,0,-999999,-999999,0,-999999,t,t,HiFlows-UK_3.1.2_WINFAP-FEH_data,36,6.353,7.604053114
450350,276700,3,54111,Avon                  ,GB,450350,276700,458442,279966,243.32,131,260,0.362,15.42,31.9,0.956,0.1016,30.48,0.29,11.7,31.4,39.2,658,694,44.12,0.754,0.0249,0.483,0.859,0.0342,0.528,t,t,HiFlows-UK_3.1.2_WINFAP-FEH_data,31,33.385,29.5794508
429900,265300,3,54114,Avon                  ,GB,429900,265300,444445,273270,1012.48,106,261,0.417,39.52,30.7,0.968,0.1187,76.94,0.3,11.2,32.6,40.8,654,679,42.51,0.796,0.0583,0.774,0.885,0.0733,0.776,t,t,HiFlows-UK_3.1.2_WINFAP-FEH_data,34,86.211,89.48363482
348550,238750,3,55002,Wye                   ,GB,348550,238750,306152,255938,1894.26,297,128,0.472,95.68,134.4,0.967,0.0693,157.79,0.5,10.2,42.4,56.1,1230,1269,39.67,-9.999,0.002,-9.999,-9.999,0.0029,-9.999,t,t,HiFlows-UK_3.1.2_WINFAP-FEH_data,101,388.88,499.9303515
